Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,6.71063,-6.617747,90,bottom
C2,100nF,C_0402_1005Metric,7.116142,-6.619715,90,bottom
C3,100nF,C_0402_1005Metric,7.155512,-6.619715,90,bottom
C4,100nF,C_0402_1005Metric,7.119882,-6.974046,0,bottom
C5,1uF,C_0603_1608Metric,6.830709,-6.964204,180,bottom
C6,4.7uF,C_0603_1608Metric,6.769685,-6.617747,90,bottom
C7,4.7uF,C_0603_1608Metric,6.947402,-6.596723,270,bottom
C8,1uF,C_0603_1608Metric,6.957402,-6.986723,180,bottom
C9,47nF,C_0402_1005Metric,7.261811,-6.893337,180,bottom
C10,4.7uF,C_0603_1608Metric,6.887402,-6.596723,90,bottom
C11,820pF,C_0402_1005Metric,7.223622,-6.796881,0,bottom
C12,100pF,C_0402_1005Metric,7.222402,-6.931723,0,bottom
C13,100nF,C_0402_1005Metric,6.848425,-6.913022,180,bottom
C14,12pF,C_0402_1005Metric,6.757874,-6.913022,180,bottom
C15,12pF,C_0402_1005Metric,6.683071,-6.846093,90,bottom
C16,1.5pF,C_0402_1005Metric,7.617372,-7.283071,270,bottom
C17,1pF,C_0402_1005Metric,7.322835,-6.855936,270,bottom
C18,1pF,C_0402_1005Metric,7.204724,-6.855936,270,bottom
C19,12pF,C_0402_1005Metric,7.268307,-7.042944,90,bottom
C20,12pF,C_0402_1005Metric,7.110827,-7.042944,270,bottom
D1,D,D_1206_3216Metric,4.124508,-4.030758,180,bottom
D2,D,D_1206_3216Metric,4.991696,-3.937008,90,bottom
D3,D,D_1206_3216Metric,5.741697,-3.937008,90,bottom
D4,D,D_1206_3216Metric,6.491698,-3.937008,90,bottom
D5,D,D_1206_3216Metric,7.241698,-3.937008,90,bottom
D6,D,D_1206_3216Metric,7.991699,-3.937008,90,bottom
D7,D,D_1206_3216Metric,8.601074,-4.030758,0,bottom
D8,D,D_1206_3216Metric,4.312008,-4.780758,180,bottom
D9,D,D_1206_3216Metric,5.366697,-4.687009,90,bottom
D10,D,D_1206_3216Metric,6.116697,-4.687009,90,bottom
D11,D,D_1206_3216Metric,6.866698,-4.687009,90,bottom
D12,D,D_1206_3216Metric,7.616698,-4.687009,90,bottom
D13,D,D_1206_3216Metric,8.226074,-4.780759,0,bottom
D14,D,D_1206_3216Metric,4.616696,-5.437009,90,bottom
D15,D,D_1206_3216Metric,5.554197,-5.437009,90,bottom
D16,D,D_1206_3216Metric,6.304197,-5.437009,90,bottom
D17,D,D_1206_3216Metric,7.054198,-5.437009,90,bottom
D18,D,D_1206_3216Metric,7.804199,-5.437009,90,bottom
D19,D,D_1206_3216Metric,8.413574,-5.530759,0,bottom
D20,D,D_1206_3216Metric,4.593258,-6.280758,180,bottom
D22,D,D_1206_3216Metric,5.929197,-6.18701,90,bottom
D23,D,D_1206_3216Metric,6.679198,-6.18701,90,bottom
D24,D,D_1206_3216Metric,7.429198,-6.18701,90,bottom
D25,D,D_1206_3216Metric,8.179199,-6.18701,90,bottom
D26,D,D_1206_3216Metric,8.788574,-6.28076,0,bottom
D27,D,D_1206_3216Metric,4.312008,-6.788142,270,bottom
D28,D,D_1206_3216Metric,5.179196,-6.890135,90,bottom
D29,D,D_1206_3216Metric,5.929197,-6.93701,90,bottom
D30,D,D_1206_3216Metric,6.632319,-7.03076,0,bottom
D31,D,D_1206_3216Metric,8.167476,-6.796385,90,bottom
D100,LED,LED_1206_3216Metric,8.447343,-6.700787,180,bottom
D101,LED,LED_1206_3216Metric,8.447343,-6.818898,180,bottom
D102,LED,LED_1206_3216Metric,8.447343,-6.93701,180,bottom
D103,LED,LED_1206_3216Metric,8.447343,-7.055118,180,bottom
D104,LED,LED_1206_3216Metric,8.447343,-7.173228,180,bottom
J1,Conn_01x04_Male,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,4.593258,-4.874508,0,bottom
L1,15nH,L_0402_1005Metric,6.937402,-7.036723,180,bottom
L2,10uH,L_0603_1608Metric,6.837402,-7.026723,180,bottom
L3,10uH,L_0603_1608Metric,6.82874,-6.617747,90,bottom
L4,4.7nH,L_0402_1005Metric,7.26378,-6.836251,180,bottom
R1,750,R_0603_1608Metric,8.289862,-6.818898,180,bottom
R2,750,R_0603_1608Metric,8.289862,-6.877955,180,bottom
R3,750,R_0603_1608Metric,8.289862,-6.93701,180,bottom
R4,750,R_0603_1608Metric,8.289862,-6.996063,180,bottom
R5,750,R_0603_1608Metric,8.289862,-7.055118,180,bottom
R6,50,R_0402_1005Metric,7.578002,-7.283071,90,bottom
SW100,SW_Push,SW_Push_1P1T_NO_CK_KMR2,5.155758,-6.187008,90,bottom
U1,nRF52840,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,7.037402,-6.806723,0,bottom
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,6.781496,-6.846093,180,bottom
Y2,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,7.189567,-7.042944,180,bottom
SW1,SW_Push,Kailh_socket_MX,3.937008,-3.937008,0,top
SW2,SW_Push,Kailh_socket_MX,4.687008,-3.937008,0,top
SW3,SW_Push,Kailh_socket_MX,5.437008,-3.937008,0,top
SW4,SW_Push,Kailh_socket_MX,6.187008,-3.937008,0,top
SW5,SW_Push,Kailh_socket_MX,6.937008,-3.937008,0,top
SW6,SW_Push,Kailh_socket_MX,7.687008,-3.937008,0,top
SW7,SW_Push,Kailh_socket_MX,8.437008,-3.937008,0,top
SW8,SW_Push,Kailh_socket_MX,4.124508,-4.687008,0,top
SW9,SW_Push,Kailh_socket_MX,5.062008,-4.687008,0,top
SW10,SW_Push,Kailh_socket_MX,5.812008,-4.687008,0,top
SW11,SW_Push,Kailh_socket_MX,6.562008,-4.687008,0,top
SW12,SW_Push,Kailh_socket_MX,7.312008,-4.687008,0,top
SW13,SW_Push,Kailh_socket_MX,8.062008,-4.687008,0,top
SW14,SW_Push,Kailh_socket_MX,4.030758,-5.437008,0,top
SW15,SW_Push,Kailh_socket_MX,5.249508,-5.437008,0,top
SW16,SW_Push,Kailh_socket_MX,5.999508,-5.437008,0,top
SW17,SW_Push,Kailh_socket_MX,6.749508,-5.437008,0,top
SW18,SW_Push,Kailh_socket_MX,7.499508,-5.437008,0,top
SW19,SW_Push,Kailh_socket_MX,8.249508,-5.437008,0,top
SW20,SW_Push,Kailh_socket_MX,4.405758,-6.187008,0,top
SW22,SW_Push,Kailh_socket_MX,5.624508,-6.187008,0,top
SW23,SW_Push,Kailh_socket_MX,6.374508,-6.187008,0,top
SW24,SW_Push,Kailh_socket_MX,7.124508,-6.187008,0,top
SW25,SW_Push,Kailh_socket_MX,7.874508,-6.187008,0,top
SW26,SW_Push,Kailh_socket_MX,8.624508,-6.187008,0,top
SW27,SW_Push,Kailh_socket_MX,3.937008,-6.937008,0,top
SW28,SW_Push,Kailh_socket_MX,4.780758,-6.937008,0,top
SW29,SW_Push,Kailh_socket_MX,5.624508,-6.937008,0,top
SW30,SW_Push,Kailh_socket_MX,6.468258,-6.937008,0,top
SW31,SW_Push,Kailh_socket_MX,7.780758,-6.937008,0,top
SW141,SW_Push,Kailh_socket_MX,4.218258,-5.437008,180,top
SW271,SW_Push,Kailh_socket_MX,4.030758,-6.937008,180,top
SW281,SW_Push,Kailh_socket_MX,4.874508,-6.937008,180,top
